step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,561,1,0.65497237287666,0.0,0.7815126050420168
2,1034,2,0.3347601950505268,0.0,0.8821548821548821
3,1515,3,0.2741298241504986,0.0,0.9096989966555183
4,1996,4,0.2334335671463254,0.0,0.9133333333333333
5,2677,5,0.4163901414225371,0.0,0.8711111111111111
6,3158,6,0.16087368543578157,0.0,0.9498327759197325
7,3639,7,0.13214405068443658,0.0,0.9530201342281879
8,4912,8,0.33283922946405503,0.0,0.9114052953156823
9,5393,9,0.08051497136592943,0.0,0.9732441471571907
10,5874,10,0.06646917761530423,0.0,0.9765886287625418
11,6491,11,0.1977002501338165,0.0,0.9297423887587822
12,6972,12,0.04616182116562376,0.0,0.9765886287625418
13,7509,13,0.12626445458378205,0.0,0.9581005586592178
14,8054,14,0.17016355484648743,0.0,0.9369627507163324
15,8535,15,0.026818835730264296,0.0,0.9933333333333333
16,9056,16,0.09281573220791098,0.0,0.9713467048710601
17,9593,17,0.038177977980876174,0.0,0.9859154929577465
18,10258,18,0.07178030936612408,0.0,0.9701834862385321
19,10739,19,0.02989596636780351,0.0,0.9866220735785953
20,11292,20,0.04654558067122629,0.0,0.9801136363636364
21,11773,21,0.022747333501029917,0.0,0.9933110367892977
22,12422,22,0.12302081218628819,0.0,0.9530201342281879
23,12903,23,0.013482266782130943,0.0,0.9966555183946488
24,13520,24,0.21956372221044054,0.0,0.9504950495049505
25,13993,25,0.020759334416208496,0.0,0.9932659932659933
26,14514,26,0.06247941480963235,0.0,0.9759036144578314
27,15179,27,0.038686101232550424,0.0,0.9910714285714286
28,15660,28,0.021148176017515233,0.0,0.9899665551839465
29,16189,29,0.04077721395762852,0.0,0.9857954545454546
30,16670,30,0.017588210632427242,0.0,0.9932885906040269
31,17255,31,0.0388989771430587,0.0,0.989247311827957
32,17800,32,0.032045459281712256,0.0,0.988795518207283
33,18281,33,0.013137354963192323,0.0,0.9966555183946488
34,18762,34,0.012793172364767647,1.0,1.0
35,19347,35,0.05136663364594979,0.0,0.981081081081081
36,19828,36,0.016864755750285683,0.0,0.9899328859060402
37,20397,37,0.031287198604087005,0.0,0.9865591397849462
38,20878,38,0.014986081479028357,0.0,0.9933110367892977
39,21359,39,0.012722375186001715,0.0,0.9966555183946488
40,21840,40,0.018613204025743624,0.0,0.9899328859060402
41,22313,41,0.015965203813851164,0.0,0.9932659932659933
42,22794,42,0.02618779696870623,0.0,0.9899665551839465
43,23275,43,0.020137286223590026,0.0,0.9932885906040269
44,23756,44,0.018092380568452533,0.0,0.9899328859060402
45,24269,45,0.07884575366567971,0.0,0.9791044776119403
