step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,481,1,0.28529609541908385,0.0,0.8966666666666666
2,954,2,0.27094609898299,0.0,0.9057239057239057
3,1435,3,0.22746211818904208,0.0,0.92
4,1980,4,0.34556378392256565,0.0,0.8898305084745762
5,2437,5,0.1736245306820378,0.0,0.9379562043795621
6,2910,6,0.1232550765830746,0.0,0.9629629629629629
7,3447,7,0.22733500193234332,0.0,0.9215686274509803
8,4128,8,0.23321347057505631,0.0,0.9177777777777778
9,4793,9,0.11998676113770798,0.0,0.9553571428571429
10,5266,10,0.0654326353447018,0.0,0.9696969696969697
11,5739,11,0.0501759892557319,0.0,0.9763513513513513
12,6220,12,0.028202372994341984,0.0,0.9933110367892977
13,6693,13,0.03225889765655508,0.0,0.9932659932659933
14,7174,14,0.025828851067178384,0.0,0.9933333333333333
15,7655,15,0.022373098466904353,0.0,0.9933110367892977
16,8136,16,0.011000974097259504,0.0,0.9933333333333333
17,8721,17,0.11451468276458539,0.0,0.9675675675675676
18,9298,18,0.03629239715197073,0.0,0.984
19,9779,19,0.027438989262081537,0.0,0.9932885906040269
20,10308,20,0.04363090312733758,0.0,0.9886363636363636
21,10853,21,0.04642105155523318,0.0,0.9774011299435028
22,11478,22,0.10523793622586436,0.0,0.965
23,11951,23,0.022713053424864953,0.0,0.9932432432432432
24,12424,24,0.02143860636080858,0.0,0.9898648648648649
25,12873,25,0.07373166141846717,0.0,0.981549815498155
26,13354,26,0.02456825810612098,0.0,0.9865771812080537
27,13835,27,0.020099734890070598,0.0,0.9932885906040269
28,14316,28,0.01821843539520994,0.0,0.9933110367892977
29,14797,29,0.0186524954608821,0.0,0.9866666666666667
30,15278,30,0.01660876399811933,0.0,0.9932885906040269
31,15759,31,0.01849691409287361,0.0,0.9899665551839465
32,16240,32,0.0203015463859264,0.0,0.9899665551839465
33,16969,33,0.10598448636940133,0.0,0.9665970772442589
34,17450,34,0.012848006802892895,0.0,0.9966442953020134
35,17931,35,0.01376605574990739,0.0,0.9966442953020134
36,18420,36,0.09872426906837058,0.0,0.9678456591639871
37,18869,37,0.020105592797622782,0.0,0.985239852398524
38,19454,38,0.025593453904129995,0.0,0.9919354838709677
39,20023,39,0.028841233410873284,0.0,0.9893048128342246
40,20568,40,0.14649865931565415,0.0,0.9591280653950953
41,21113,41,0.014924644726234226,0.0,0.9971988795518207
42,21586,42,0.021477221478542374,0.0,0.98989898989899
43,22107,43,0.04179337823139591,0.0,0.9879518072289156
44,22588,44,0.011510868113645292,0.0,0.9966555183946488
45,23069,45,0.008702520589672537,1.0,1.0
46,23638,46,0.01284928029916155,0.0,0.9946524064171123
47,24127,47,0.011486097998955056,0.0,0.9933774834437086
48,24720,48,0.017934446457239423,0.0,0.9919786096256684
49,25201,49,0.00811769055522854,0.0,0.9966442953020134
50,25682,50,0.009903107416310303,0.0,0.9966555183946488
51,26251,51,0.021176349841981447,0.0,0.9946091644204852
52,26732,52,0.008948069622416684,0.0,0.9933333333333333
53,27213,53,0.00784582973933819,0.0,0.9966555183946488
54,27902,54,0.03586747629780592,0.0,0.9817767653758542
55,28383,55,0.02676098072100443,0.0,0.9966555183946488
56,28888,56,0.08653354159123919,0.0,0.9757575757575757
57,29457,57,0.020555167941164652,0.0,0.989247311827957
58,30266,58,0.2662484572987174,0.0,0.9320557491289199
59,30859,59,0.020835491639652405,0.0,0.9866310160427807
60,31340,60,0.007747922969250109,0.0,0.9966666666666667
61,32317,61,0.1369087905057371,0.0,0.9574175824175825
62,32798,62,0.005883355736441329,1.0,1.0
63,33279,63,0.0056899373755106356,1.0,1.0
64,33760,64,0.005787776921148018,1.0,1.0
65,34305,65,0.02985492140709021,0.0,0.9859154929577465
66,34786,66,0.008069929717989902,0.0,0.9966555183946488
67,35323,67,0.017300387962057802,0.0,0.994413407821229
68,35940,68,0.0219993727351404,0.0,0.990632318501171
69,36453,69,0.06179498542155584,0.0,0.9730538922155688
70,37006,70,0.02808547111338418,0.0,0.9886363636363636
71,37487,71,0.005699190104238361,1.0,1.0
72,37968,72,0.005082800162439575,1.0,1.0
73,38449,73,0.004887592857676137,1.0,1.0
74,38930,74,0.00796482086823587,0.0,0.9966555183946488
75,39411,75,0.004910715997609894,1.0,1.0
76,39996,76,0.0439867537844055,0.0,0.9838709677419355
77,40565,77,0.023822873007829974,0.0,0.9919137466307277
78,41278,78,0.14114458492767235,0.0,0.9508840864440079
79,41759,79,0.006588365832744188,0.0,0.9966555183946488
80,42232,80,0.006014536603725426,1.0,1.0
81,42713,81,0.008036929974853665,0.0,0.9966442953020134
82,43194,82,0.005678126771208484,1.0,1.0
83,43675,83,0.008412522580440885,0.0,0.9966555183946488
84,44156,84,0.00933875541563693,0.0,0.9966442953020134
85,45085,85,0.061639645672630014,0.0,0.9767441860465116
86,45566,86,0.004379777938667756,1.0,1.0
87,46103,87,0.05744006066671973,0.0,0.9858356940509915
88,46584,88,0.008360672409345637,0.0,0.9966666666666667
89,47201,89,0.12103079945250872,0.0,0.9628712871287128
90,47682,90,0.006406251464656313,0.0,0.9966555183946488
91,48163,91,0.006566843461668689,1.0,1.0
92,48676,92,0.03474311122624028,0.0,0.9880597014925373
93,49669,93,0.057181345925864144,0.0,0.9860335195530726
94,50238,94,0.017222701613041968,0.0,0.9919137466307277
95,50719,95,0.02694043144544492,0.0,0.9865771812080537
96,51192,96,0.005164084704971313,1.0,1.0
97,51857,97,0.03389610230559283,0.0,0.9885321100917431
98,52442,98,0.03479457987549294,0.0,0.9891891891891892
99,52923,99,0.005048786336174135,1.0,1.0
100,53452,100,0.013735882196520168,0.0,0.9943502824858758
101,53933,101,0.004500730721176183,1.0,1.0
102,54462,102,0.017508782556457318,0.0,0.9887005649717514
103,55143,103,0.018405193476807996,0.0,0.9933184855233853
104,55624,104,0.022064867927124046,0.0,0.9865771812080537
105,56097,105,0.010815172802233387,0.0,0.9966329966329966
106,56570,106,0.013627597563350954,0.0,0.9932659932659933
107,57155,107,0.01843554235621857,0.0,0.9946236559139785
108,57772,108,0.060731976191336814,0.0,0.9850746268656716
109,58245,109,0.0037536421172961027,1.0,1.0
110,58726,110,0.004457076925086881,1.0,1.0
111,59207,111,0.00439714390985727,1.0,1.0
112,59688,112,0.007178213427125452,0.0,0.9966555183946488
113,60169,113,0.00448886972733169,1.0,1.0
114,60650,114,0.0045581989420416255,1.0,1.0
115,61195,115,0.03886372526786495,0.0,0.9885386819484241
116,61652,116,0.027461938361111236,0.0,0.9927007299270073
117,62133,117,0.016493302160689713,0.0,0.9966442953020134
118,62614,118,0.009495227889808033,0.0,0.9966442953020134
119,63095,119,0.008266874625945948,0.0,0.9966442953020134
120,63624,120,0.02481159674795389,0.0,0.9915254237288136
121,64209,121,0.030986996377101998,0.0,0.9891304347826086
122,64690,122,0.005459556748915582,1.0,1.0
123,65171,123,0.008661331369465092,0.0,0.9966555183946488
124,65700,124,0.016638542909492016,0.0,0.9969788519637462
125,66445,125,0.11585197229577618,0.0,0.9632495164410058
126,67326,126,0.03677656437358908,0.0,0.9875195007800313
127,67807,127,0.003648614194147715,1.0,1.0
128,68288,128,0.006670256364440099,0.0,0.9966442953020134
129,68769,129,0.004328606811288015,1.0,1.0
130,69250,130,0.005560444570677501,0.0,0.9966442953020134
131,69899,131,0.06015239308009262,0.0,0.9822222222222222
132,70380,132,0.006081882524428011,0.0,0.9966442953020134
133,70973,133,0.009167174857639092,0.0,0.9973333333333333
134,71446,134,0.004286789394794028,1.0,1.0
135,72671,135,0.09027296516927481,0.0,0.9759562841530055
136,73144,136,0.00371796782353082,1.0,1.0
137,73625,137,0.0038505074856628515,1.0,1.0
138,74162,138,0.009354492075166027,1.0,1.0
139,74643,139,0.00437553743544933,1.0,1.0
140,75124,140,0.003831518625558531,1.0,1.0
141,75597,141,0.004525038552900933,1.0,1.0
142,76230,142,0.15001061232926619,0.0,0.9574944071588367
143,76711,143,0.003376662095091021,1.0,1.0
144,77192,144,0.004440342067958095,1.0,1.0
145,77633,145,0.03168689980872461,0.0,0.9924812030075187
146,78202,146,0.01009956246524243,0.0,0.9973118279569892
147,78851,147,0.049036290550286014,0.0,0.9843400447427293
148,79332,148,0.003671127769196647,1.0,1.0
149,79813,149,0.003513515164291863,1.0,1.0
150,80294,150,0.0034195470476713528,1.0,1.0
151,80775,151,0.00384012844179734,1.0,1.0
152,81256,152,0.0039646585784456415,1.0,1.0
153,81729,153,0.003354770265298359,1.0,1.0
154,82202,154,0.004024621378980696,1.0,1.0
155,82683,155,0.0033672974584788872,1.0,1.0
156,83156,156,0.003151934620027091,1.0,1.0
157,83629,157,0.0036675366578263757,1.0,1.0
158,84110,158,0.009096398147623235,0.0,0.9966555183946488
159,84591,159,0.0032843225994989497,1.0,1.0
160,85480,160,0.05697612815365073,0.0,0.9782945736434109
161,86049,161,0.019090543181870687,0.0,0.9946236559139785
162,86530,162,0.0033001683336965223,1.0,1.0
163,87003,163,0.0030590546233654876,1.0,1.0
164,87484,164,0.0029405079214879395,1.0,1.0
165,88005,165,0.016524525715033555,0.0,0.994269340974212
166,88598,166,0.011723279442825581,0.0,0.9973190348525469
167,89151,167,0.05837260193192428,0.0,0.9853372434017595
168,89632,168,0.002772359197002225,1.0,1.0
169,90113,169,0.0031156916939419237,1.0,1.0
170,90634,170,0.011620034796046657,0.0,0.9969418960244648
171,91115,171,0.008170759616509593,0.0,0.9966555183946488
172,91596,172,0.003527476050135526,1.0,1.0
173,92077,173,0.0037098370922077537,1.0,1.0
174,92926,174,0.08579812952871467,0.0,0.96964586846543
175,93407,175,0.030245706728414968,0.0,0.9966555183946488
176,93968,176,0.07282171156581627,0.0,0.9775910364145658
177,94449,177,0.0032944885600974345,1.0,1.0
178,95018,178,0.011620579123786976,0.0,0.9973333333333333
179,95499,179,0.003825612696563186,1.0,1.0
180,95980,180,0.003278312158173841,1.0,1.0
181,96453,181,0.011472566757704902,0.0,0.9966216216216216
182,96934,182,0.0033913324087461953,1.0,1.0
183,97415,183,0.0040551975969486285,1.0,1.0
184,97888,184,0.003711029900670535,1.0,1.0
185,98457,185,0.008691527592965261,1.0,1.0
186,99050,186,0.009363523225437846,0.0,0.9973190348525469
187,99587,187,0.04688455418634839,0.0,0.9827586206896551
188,100860,188,0.08018662416424506,0.0,0.9714867617107943
189,101397,189,0.010009760351611253,0.0,0.9971988795518207
190,101878,190,0.0027922677927588804,1.0,1.0
191,102359,191,0.0030573518098318386,1.0,1.0
192,102840,192,0.0029674810925614174,1.0,1.0
193,103289,193,0.013151443761533162,0.0,0.9926470588235294
194,103762,194,0.014167938887855875,0.0,0.9966329966329966
195,104243,195,0.0036321603277064294,1.0,1.0
196,104700,196,0.00679876833867336,0.0,0.9963503649635036
197,105269,197,0.007857455695437528,0.0,0.9973045822102425
198,105742,198,0.015668434903525562,0.0,0.9932659932659933
199,106247,199,0.02730894311314219,0.0,0.9909638554216867
200,106720,200,0.0038268082747664185,1.0,1.0
201,107201,201,0.004299654702491112,1.0,1.0
202,107738,202,0.009836399450540325,0.0,0.9971988795518207
203,108331,203,0.007375151194670471,1.0,1.0
