step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,473,1,0.2518514749697786,0.0,0.9087837837837838
2,1018,2,0.33786418782947014,0.0,0.8785310734463276
3,1499,3,0.21377110597974736,0.0,0.9264214046822743
4,1956,4,0.20054191902978394,0.0,0.9233576642335767
5,2429,5,0.13685568161284503,0.0,0.9595959595959596
6,3094,6,0.15412442398685042,0.0,0.953125
7,3575,7,0.09183758352425893,0.0,0.9798657718120806
8,4264,8,0.12868672400778022,0.0,0.9544419134396356
9,4945,9,0.12916219326542008,0.0,0.9644444444444444
10,5418,10,0.05700767322024662,0.0,0.9797979797979798
11,5987,11,0.06563768009549287,0.0,0.9757412398921833
12,6468,12,0.04700134269487459,0.0,0.9832775919732442
13,6949,13,0.021497956278955697,0.0,0.9932885906040269
14,7830,14,0.1035243290835334,0.0,0.9672386895475819
15,8311,15,0.022942667854983636,0.0,0.9899665551839465
16,8792,16,0.02944350141124145,0.0,0.9866220735785953
17,9273,17,0.012339106223213,0.0,0.9933110367892977
18,9866,18,0.030332036539267502,0.0,0.9892761394101877
19,10347,19,0.009138951825857595,0.0,0.9966442953020134
20,10916,20,0.029680723070391133,0.0,0.9892761394101877
21,11397,21,0.029628847714156598,0.0,0.99
22,11918,22,0.0434296175935651,0.0,0.9877675840978594
23,12399,23,0.027282212001328215,0.0,0.9865771812080537
24,12880,24,0.01211462431644625,0.0,0.9899328859060402
25,13385,25,0.07583683916163723,0.0,0.9789156626506024
26,13954,26,0.013991755520989966,0.0,0.9973118279569892
27,14619,27,0.0281374155906194,0.0,0.9862385321100917
28,15236,28,0.1753365114196434,0.0,0.948019801980198
29,15709,29,0.019287758230753467,0.0,0.98989898989899
30,16278,30,0.022109013801634686,0.0,0.9892183288409704
31,16895,31,0.017064431941421796,0.0,0.9976580796252927
32,17376,32,0.006557090874698039,1.0,1.0
33,17905,33,0.016484678482431552,0.0,0.9943181818181818
34,18386,34,0.007633229197176337,1.0,1.0
35,18939,35,0.025090172391605697,0.0,0.9886363636363636
36,19420,36,0.007687347197429946,0.0,0.9966555183946488
37,19901,37,0.00802310116716476,1.0,1.0
38,20382,38,0.007005986326014198,1.0,1.0
39,21271,39,0.09714837434328039,0.0,0.9689922480620154
40,21808,40,0.016825776066267693,0.0,0.9943342776203966
41,22281,41,0.00672937395082102,0.0,0.9966329966329966
42,22762,42,0.023945926324087267,0.0,0.9933110367892977
43,23331,43,0.01151443078583968,0.0,0.9973262032085561
44,23812,44,0.006458062915498517,1.0,1.0
45,24293,45,0.005625909035242339,1.0,1.0
46,24742,46,0.09866168036770355,0.0,0.981549815498155
47,25311,47,0.009021501052570822,1.0,1.0
48,25792,48,0.006389884656273711,1.0,1.0
49,26273,49,0.007515500396343162,1.0,1.0
50,26746,50,0.0076130703476262485,1.0,1.0
51,27227,51,0.0063507357183523756,1.0,1.0
52,27812,52,0.014926490538489715,0.0,0.9946236559139785
53,29085,53,0.07518172781207881,0.0,0.9765784114052953
54,29614,54,0.014953123121133548,0.0,0.9969788519637462
55,30607,55,0.06323377054695235,0.0,0.9818435754189944
56,31200,56,0.010608943092013627,1.0,1.0
57,31681,57,0.004730602921593286,1.0,1.0
58,32162,58,0.004896397240921726,1.0,1.0
59,32755,59,0.00953735923255264,0.0,0.9973190348525469
60,33236,60,0.004287266219454886,1.0,1.0
61,34085,61,0.08356853463389749,0.0,0.9679595278246206
62,34566,62,0.004522426750220902,1.0,1.0
63,35103,63,0.007621428086665672,0.0,0.9971988795518207
64,35648,64,0.0943525494080571,0.0,0.9727520435967303
65,36129,65,0.0035742135874647094,1.0,1.0
66,36602,66,0.004141159958230971,1.0,1.0
67,37139,67,0.007137840063321496,0.0,0.9971830985915493
68,37612,68,0.003968710303968438,1.0,1.0
69,38237,69,0.05462618398854929,0.0,0.9875
70,38726,70,0.011333595042482693,0.0,0.9967845659163987
71,39207,71,0.004066793552210403,1.0,1.0
72,39688,72,0.00511134774069259,1.0,1.0
73,40257,73,0.020957412404556584,0.0,0.9946666666666667
74,40802,74,0.025326964728879613,0.0,0.994269340974212
75,41275,75,0.0036792597673038904,1.0,1.0
76,41756,76,0.005300600213293485,1.0,1.0
77,42237,77,0.004768095688514272,1.0,1.0
78,42718,78,0.005974555733438904,0.0,0.9966666666666667
79,43463,79,0.09348485242289119,0.0,0.9709864603481625
80,43944,80,0.004315965552695905,1.0,1.0
81,44425,81,0.004448099492347364,1.0,1.0
82,44906,82,0.0044440062715161745,1.0,1.0
83,45387,83,0.0042625217366357585,1.0,1.0
84,45868,84,0.004061515796983206,1.0,1.0
85,46397,85,0.010033868881450478,0.0,0.9971751412429378
86,47078,86,0.014617269196879439,0.0,0.9933184855233853
87,47559,87,0.003961398942835081,1.0,1.0
88,48040,88,0.007711828340510616,0.0,0.9966442953020134
89,48521,89,0.0038810342773262624,1.0,1.0
90,49002,90,0.003980087237414439,1.0,1.0
91,49483,91,0.0033093362932312023,1.0,1.0
92,49964,92,0.0034960592322427664,1.0,1.0
93,50445,93,0.003968404774494335,1.0,1.0
94,50926,94,0.003683919943103159,1.0,1.0
95,51407,95,0.004074494429981809,1.0,1.0
96,51888,96,0.003784223138230311,1.0,1.0
97,52369,97,0.003779082486175536,1.0,1.0
98,53002,98,0.12951314978699113,0.0,0.9619686800894854
99,53475,99,0.0033883683682510777,1.0,1.0
100,53956,100,0.003630297096179098,1.0,1.0
101,54605,101,0.05913325943227019,0.0,0.9755555555555555
